type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
hpke_auth,52428800,0.165961,0.172914,52428881,0,52428800,16,0,0,65
imessage,52428800,0.336555,0.333386,52429014,16,52428800,0,70,128,0
hybrid_signcryption,52428800,0.143803,0.151761,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244607,0.240083,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.168112,0.172187,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332340,0.332241,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.147248,0.150853,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.254459,0.246745,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.166657,0.172637,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334917,0.334332,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.144688,0.151712,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.251006,0.243864,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.169366,0.172695,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335236,0.333323,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.146973,0.151182,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.249411,0.243436,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.166097,0.172010,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332717,0.332151,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143184,0.150463,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.245344,0.242510,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.171531,0.173246,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333959,0.334590,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.148432,0.150714,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247884,0.242869,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.170384,0.172345,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333595,0.331664,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.145931,0.150526,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246727,0.242556,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168358,0.172137,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333142,0.335139,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.146304,0.151281,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246571,0.241237,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168949,0.174392,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333185,0.332873,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.145134,0.151309,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.244514,0.240275,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168613,0.172554,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333500,0.333249,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.147241,0.152391,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.247499,0.240559,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.165443,0.171346,52428881,0,52428800,16,0,0,65
imessage,52428800,0.333816,0.332246,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143409,0.150447,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246772,0.240848,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.165621,0.171953,52428881,0,52428800,16,0,0,65
imessage,52428800,0.335910,0.333289,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.143194,0.150961,52428864,16,52428800,16,32,0,0
