type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
imessage,102400,0.014347,0.012381,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005050,0.005312,102464,16,102400,16,32,0,0
ecies_signature,102400,0.016007,0.010834,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026869,0.026002,102481,0,102400,16,0,0,65
imessage,102400,0.014728,0.012705,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005160,0.005340,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015892,0.011074,102552,16,102400,0,71,0,65
hpke_auth,102400,0.027082,0.026189,102481,0,102400,16,0,0,65
imessage,102400,0.014477,0.012274,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005117,0.005377,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015871,0.010809,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026864,0.026170,102481,0,102400,16,0,0,65
imessage,102400,0.014308,0.012442,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005182,0.005262,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015836,0.010819,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026967,0.026290,102481,0,102400,16,0,0,65
imessage,102400,0.014445,0.012186,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005208,0.005218,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015663,0.010958,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027023,0.026276,102481,0,102400,16,0,0,65
imessage,102400,0.014265,0.012176,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005076,0.005340,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015726,0.010961,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026633,0.026240,102481,0,102400,16,0,0,65
imessage,102400,0.014428,0.012170,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005127,0.005283,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015693,0.010977,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026890,0.026914,102481,0,102400,16,0,0,65
imessage,102400,0.014458,0.012419,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005203,0.005233,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015745,0.010874,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026941,0.025912,102481,0,102400,16,0,0,65
imessage,102400,0.014386,0.012195,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005032,0.005371,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015830,0.010767,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026887,0.026186,102481,0,102400,16,0,0,65
imessage,102400,0.014644,0.012067,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005156,0.005292,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015799,0.010876,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026833,0.026416,102481,0,102400,16,0,0,65
imessage,102400,0.014465,0.012117,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005150,0.005393,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015897,0.010871,102553,16,102400,0,72,0,65
hpke_auth,102400,0.027162,0.026103,102481,0,102400,16,0,0,65
imessage,102400,0.014426,0.012354,102616,16,102400,0,72,128,0
hybrid_signcryption,102400,0.005133,0.005285,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015735,0.010831,102552,16,102400,0,71,0,65
hpke_auth,102400,0.026954,0.026217,102481,0,102400,16,0,0,65
imessage,102400,0.014331,0.012449,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005040,0.005431,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015751,0.010933,102553,16,102400,0,72,0,65
hpke_auth,102400,0.026886,0.026295,102481,0,102400,16,0,0,65
imessage,102400,0.014340,0.012057,102615,16,102400,0,71,128,0
hybrid_signcryption,102400,0.005147,0.005355,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015925,0.010809,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026770,0.026386,102481,0,102400,16,0,0,65
imessage,102400,0.014329,0.012281,102614,16,102400,0,70,128,0
hybrid_signcryption,102400,0.005146,0.005270,102464,16,102400,16,32,0,0
ecies_signature,102400,0.015812,0.010771,102551,16,102400,0,70,0,65
hpke_auth,102400,0.026970,0.025966,102481,0,102400,16,0,0,65
imessage,102400,0.014381,0.012377,102615,16,102400,0,71,128,0
